iter	Passed	Remaining
0	0	74
1	1	69
2	2	66
3	2	61
4	3	59
5	3	61
6	4	60
7	5	60
8	5	59
9	6	58
10	7	58
11	7	57
12	8	56
13	9	56
14	9	55
15	10	54
16	10	53
17	11	52
18	12	52
19	12	51
20	13	50
21	14	49
22	14	49
23	15	48
24	15	47
25	16	47
26	17	46
27	17	45
28	18	45
29	19	44
30	19	44
31	20	43
32	21	42
33	21	42
34	22	41
35	23	41
36	23	40
37	24	39
38	24	38
39	25	38
40	26	37
41	26	36
42	26	35
43	27	35
44	28	34
45	28	33
46	29	33
47	30	32
48	30	31
49	31	31
50	32	30
51	32	30
52	34	30
53	35	30
54	36	30
55	37	29
56	38	28
57	39	28
58	40	27
59	41	27
60	42	26
61	43	26
62	43	25
63	44	25
64	46	24
65	48	24
66	49	24
67	50	23
68	51	23
69	52	22
70	53	21
71	54	21
72	54	20
73	55	19
74	56	18
75	57	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	62	13
82	63	13
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	72	2
97	73	1
98	73	0
99	74	0
